"recipeID","instructions"
"10001","heat wok large skillet high heat add tablespoon oil heat second add chicken stirfry cook minute transfer plate wipe pan reduce heat mediumhigh add remain oil heat second add carrot water cover partially cook stir occasionally almost tender minute add bok choy stem cover cook minute add bok choy leave pea toss gently add cantonese light sauce increase heat high start bubble add chicken stirfry warm minute serve immediately rice"
"10002","glass jar lid mix together olive oil white vinegar sugar soy sauce close lid shake good mix combine bok choy green onion almond chow mein noodle salad bowl toss dress serve"
"10004","large bowl soak rice noodle hot water minute drain cut noodle inch length medium bowl mash tofu resemble cottage cheese mix turkey water chestnut scallion ginger cup cilantro tablespoon soy sauce teaspoon salt teaspoon white pepper form inch ball transfer plate cover plastic refrigerate heat oil small skillet add shallot cook moderate heat stir constantly golden minute drain paper towel large saucepan combine stock chile lime juice sugar remain tablespoon soy sauce season salt pepper bring boil reduce heat moderately low add meatball cook minute stir bok choy tomato cook minute add rice noodle cook moderate heat slightly soften minute ladle soup bowl garnish fry shallot remain cup cilantro serve"
"10005","blend garlic cleave next ingredient mini processor arrange salmon xxinch glass bake dish spoon marinade let marinate minute preheat oven °f arrange fish marinade still cling rim bake sheet transfer marinade dish small saucepan roast fish just opaque center minute bring marinade saucepan boil set aside reserve glaze meanwhile heat oil large nonstick skillet high heat add bok choy mushroom use garlic press press garlic cleave stirfry mushroom tender bok choy wilt minute season salt pepper divide vegetable among plate top salmon brush fish glaze"
"10006","bowl mix fish sauce miso oyster sauce sugar soy large pot boil lightly salt water cook bok choy crisptender minute transfer plate add noodle boil water cook firm pliable minute drain rinse cold water shake excess water transfer noodle bowl toss tablespoon oil heat tablespoon oil large nonstick skillet add shrimp season salt cook high heat pink throughout minute add shrimp bok choy add remain cup plus tablespoon oil skillet heat shimmer add garlic cook stir second add egg cook high heat second just lightly scramble add noodle toss lightly add fish sauce mixture toss cook without stir just liquid nearly evaporate minute stir noodle cook brown bottom minute long add shrimp bok choy cook just heat transfer noodle large platter sprinkle chile peanut serve lime wedge"
"10007","small bowl whisk together vinegar oil sugar soy sauce set aside melt margarine medium heat small skillet crush ramen noodle still package add margarine along almond sesame seed saute everything golden brown remove heat drain paper towel chop bok choy green onion add large bowl just serve sprinkle noodle mixture dress toss coat"
"10010","heat oil dutch oven mediumlow heat add ginger garlic saut minute add chicken next ingredient bring boil high heat reduce heat simmer uncover minute stir green onion ladle soup evenly bowl serve crispy sesame wontons"
"10013","combine cup boil water shiitake mushroom bowl cover let stand minute drain mushroom colander bowl reserve liquid rinse mushroom remove discard stem cut cap quarter set aside combine soy sauce wine sugar small bowl stir whisk heat small saucepan mediumhigh heat add teaspoon oil ginger pan saut second add reserve mushroom saut minute add reserve mushroom liquid broth bring boil cover reduce heat simmer minute combine oyster sauce cornstarch small bowl stir whisk stir mushroom mixture bring boil stir constantly cook minute thicken remove heat keep warm heat wok large skillet high heat add remain tablespoon oil pan add garlic stirfry second add bok choy stirfry minute bok choy begin soften add lettuce stirfry minute lettuce wilt stir mushroom mixture soy sauce mixture cook minute bok choy tender"
"10014","cook noodle boil water minute drain combine soy sauce vinegar sugar oil crush red pepper stir good whisk heat large nonstick skillet coat cook spray mediumhigh heat add bell pepper strip saut minute add bok choy saut minute add tofu garlic saut minute add noodle soy sauce mixture cook minute thoroughly heat toss good coat sprinkle green onion cilantro"
"10017","wrap tofu block several layer heavyduty paper towel press heavy object minute remove excess water remove paper towel pat tofu spin-dry cut inch cube combine hoisin sauce next ingredient small bowl add tofu toss gently coat heat oil large nonstick skillet mediumhigh heat add bok choy garlic bell pepper cook minute vegetable crisptender reduce heat low add tofu mixture cook minute tofu thoroughly heat vegetable glaze"
"10020","bring large saucepan water boil small bowl mix tablespoon soy sauce brandy hoisin sauce cornstarch blend mixture grind pork small bowl whisk sesame paste vinegar remain tablespoon soy sauce smooth small saucepan heat chili sesame oil add garlic cook high heat second add sesame paste mixture simmer minute add stock simmer low heat stir occasionally reduce slightly minute small skillet heat vegetable oil add season grind pork cook moderately high heat break meat spatula cook minute cover skillet remove heat add bok choy boil water cook bright green second use slot spoon transfer bok choy small bowl cook noodle boil water al dente minute drain good transfer bowl pour sauce noodle spoon grind pork top garnish pickle mustard green scallion serve"
"10021","bowl combine lemon zest dill parsley chervil black pepper season fish teaspoon salt lightly brush piece teaspoon dijon mustard side firmly press mustard coat side drum fillet lemonherb mixture skillet preferably nonstick heat vegetable oil place fillet coat side hot oil cook minute crust turn golden brown flip continue cook minute long fish flake easily meanwhile separate pan place bok choy cut side add little water pan steam bok choy just tender minute remove bok choy pan bowl toss olive oil season salt pepper ready serve divide bok choy among dinner plate place fish fillet top serve bok choy drizzle lemon juice extravirgin olive oil taste"
"10027","heat oil large nonstick skillet mediumhigh heat add ginger next ingredient saut minute add coconut brown sugar cook minute push tofu mixture one side pan add egg empty side pan stirfry minute softscrambled add bok choy green bean cashew cook minute vegetable tender stir occasionally stir rice soy sauce cook minute thoroughly heat serve lime wedgesnote rice recipe prepare ahead chill overnight cook microwave accord package direction omit salt fat use cup uncooked rice cup water get cup yield cook rice kind leftover cook rice another meal may substitute jasmine rice desire"
"10032","remove blemish outside stalk green put spinach one side can add wok pan last minute cook quickly prepare rest chinese green normally cut chinese broccoli strip bok choy quarter plunge green boil water minute just tender drain good put oil ginger large hot wok suitable pan cook second add scallion rest ingredient apart season stir add spinach toss everything coat sauce vegetable will sizzle stirfry oyster soy sauce will reduce just coat green point season taste stirfry minute serve immediately"
"10041","preheat oven °f form bed bokchoy center two inch squarepieces foil top bok choy fish mixorange juice green onion hoisin gingerand orange peel small bowl spoonmixture fish divide equally sprinklewith salt coriander top cilantrofold foil side pinch tightly toseal fish end packetsenclosing content completely placepackets bake sheet bake fishis just opaque center minute transfer packet plate serve bon appétit"
"10044","put potato medium saucepan cover hot water cook high heat tender minute meanwhile heat oil large heavy casserole add chicken cook high heat lightly brown minute add onion jalapeo cook stir onion soften minute add tablespoon fish sauce stock bring boil cover cook moderate heat chicken just cook minute use slot spoon transfer potato ricer press bowl alternatively mash potato reserve potato water add tablespoon flour egg yolk chive teaspoon salt potato stir stiff dough form turn dough onto heavily flour board divide half roll piece inchthick rope cut rope inch piece add bok choy stew cook crisptender minute add cornstarch mixture cook stir thicken minute return potato water boil add dumpling cook high heat rise surface simmer minute use slot spoon transfer chicken stew add basil remain tablespoon fish sauce simmer stew minute serve lime wedge"
"10045","heat medium soup pot mediumhigh heat add vegetable oil turn pan crush red pepper flake garlic ginger mushroom bok choy season salt pepper add chicken broth seafood stock clam juice put lid pot bring soup boil add shrimp noodle cook minute add scallion cook minute turn soup let sit minute adjust salt serve"
"10046","heat large nonstick skillet mediumhigh heat coat pan cook spray sprinkle pork pepper salt add pork pan cook minute side pork do remove pan keep warm add onion next ingredient garlic pan bring simmer cook minute arrange bok choy single layer carrot mixture cover reduce heat medium cook minute bok choy tender stir cilantro juice cut pork chop inchthick slice spoon cup vegetable mixture shallow bowl top serve ounce pork"
"10062","combine first ingredient food processor process smooth set aside cook broccoli floret boil water large dutch oven minute crisptender remove broccoli water slot spoon drain rinse cold water drain set aside return water boil add baby bok choy pan cook minute drain rinse cold water drain set aside heat dutch oven mediumhigh heat add oil pan swirl coat add cilantro mixture pan saut minute stir constantly add sugar next ingredient coconut milk pan bring boil add tofu cover reduce heat simmer minute slightly thick add broccoli bok choy juice cook minute heat toss combine discard lime leave place cup rice bowl spoon cup tofu mixture serve sprinkle tablespoon basil teaspoon mint serve"
"10070","cut sausage bias inch section alternatively die sausage prefer fine mixture rice pork low heat slowly heat mediumsized claypot stave take care gradually prevent pot crack add sausage sauté stir around occasionally brown sausage gradually render fat chopstick slot spoon remove sausage pot add rice stir around toast grain slightly add piece sausage back pot add salt desire add finely chop vegetable bring water gentle simmer put lid simmer low heat forty minute bottom rice develop slightly char crust rest rice just finish cook"
"10073","bring pot water boil remove heat add noodle cover let sit cook al dente minute drain rinse cold water meanwhile bring chicken stock boil large pot add chicken carrot lemongrass kaffir lime leave chilli garlic galangal simmer cook minute add bok choy shiitake mushroom simmer bok choy just wilt minute reduce heat mix coconut milk fish sauce lime juice zest pepper taste adjust season require remove heat mix noodle cilantro green onion"
"10077","small bowl combine ingredient dip sauce set aside medium bowl mix together turkey bok choy ginger garlic soy sauce sesame oil salt stir egg white work six time lie dumpling wrapper work surface spoon tablespoon fill onto one lightly wet edge wrapper water fold dough pinch around edge easy do pick dumpling pinch edge thumb forefinger place bake sheet cover plastic wrap keep dumpling dry repeat fill use freeze dumpling will cook immediately freeze transfer resealable plastic bag wrap plastic"
"10080","combine first ingredient large ziptop plastic bag seal marinate refrigerator hour turn bag occasionally heat small dutch oven high heat coat pan cook spray add beef mixture pan stirfry minute brown remove beef mixture pan set aside add bok choy mushroom carrot green onion pan stirfry minute bok choy begin wilt add water hoisin broth bring boil stir noodle reduce heat simmer minute noodle do stir beef mixture vinegar ladle cup soup bowl drizzle serve teaspoon sesame oil"
"10083","large bowl mix grind turkey five spice chili flake salt shape mixture inch ball pour flour onto large rim plate roll ball flour coat lightly pour oil quart nonstick pan mediumhigh heat add meatball single layer cook turn frequently lightly brown barely pink center cut test minute use slot spoon transfer plate add garlic ginger pan stir just fragrant second add coconut milk broth meatball bring simmer adjust heat maintain simmer cover cook meatball long pink center minute stir bok choy baby corn tomato water chestnut green onion lime juice cook stir often bok choy leave wilt stem barely tender bite minute sprinkle cilantro serve pan"
"10084","large saucepan soup pot heat oil medium high heat hot add tablespoon garlic tablespoon ginger cook stir fragrant minute add cup slice scallion chicken broth bring boil reduce heat medium low broth just simmer allow broth simmer less minute wontons assembledin small mix bowl combine remain teaspoon mince garlic remain tablespoon chop ginger tablespoon finely chop scallion pork egg yolk soy sauce rice wine vinegar sesame oil crush red pepper mix thoroughly combinedworking flat work surface lie wontons keep remain wonton wrapper cover plastic wrap fill small bowl partially cool water set aside use teaspoon measure place heap teaspoonful meat fill center wonton use finger lightly wet edge wonton bring opposite corner wonton together form triangle enclose fill press edge firmly around mound fill eliminate air pocket seal moisten opposite corner long side curl moisten corner toward overlap one top press edge together seal now round stuff wonton triangle poke top assemble remain wontons manner wontons assemble set aside add slice bok choy mushroom bamboo shoot broth cook minute use hand slot spoon gently add prepare wontons simmer broth increase heat slightly broth return gentle simmer cook stir occasionally gently wontons float pork fill cook minute serve immediately"
"10085","make fill first water blanch bok choy pot bring water boil high heat add tablespoon salt bake soda use water return boil add bok choy stalk allow water return boil add bok choy leave blanch minute leave turn bright green immediately turn heat run cold water pot drain water repeat large bowl place bok choy teaspoon salt remain fill ingredient use wooden spoon pair wooden chopstick mix ingredient together stir one direction stir way ensure mixture will become cohesive fill cover refrigerate less hour overnight long rest easy will work make dough large bowl place flour make good center gradually add water good use finger combine flour absorb firm dough form dough spin-dry add little water knead dough bowl minute smooth elastic cover dough damp cloth allow rest hour dust work surface flour divide dough equal piece work piece time keep other cover damp cloth use palm roll log inch long cut crosswise equal piece use small roll pin roll piece inch round keep work surface good dust flour work place round palm one hand place tablespoon fill center fold round halfmoon use thumb forefinger hand pleat seam close make pleat repeat form dumpling round use cover dumpling plastic wrap prevent dry repeat remain two piece dough two batch make total dumpling castiron fry pan heat tablespoon peanut oil high heat wisp white smoke appear turn heat place dumpling pan turn heat medium allow dumpling cook minute pour cup water pan allow dumpling cook minute water evaporate reduce heat low allow dumpling cook minute golden brown bottom skin translucent top ensure dumpling cook evenly move pan back forth burner distribute heat evenly prevent stick remove heat dish serve dumpling good eat hot serve batch dumpling can freeze uncooked week dust liberally flour prevent stick stack neatly separate layer sheet wax paper next wrap double layer plastic wrap wrap heavyduty aluminum foil slip freezer cook thaw allow come room temperature cook directedthese dumpling eat gingervinegar dip sauce traditional bowl mix together cup red rice wine vinegar cup peel finely shred ginger let stand minute use serve sauce common bowl diner can spoon sauce dumpling make serving master art chinese cook eileen yinfei lo text copyright © eileen yinfei lo photograph copyright © susie cushner publish chronicle book llc"
"10086","whisk together oil vinegar soy sauce mirin sesame seed small bowl set aside toss together romaine bok choy carrot almond crouton large bowl pour dress salad toss coat serve immediately"
